Plot,trt,rate1 ,rate2,rate3,AUDPC,Botrytis Bud Rot (was formerly tarspot),standcount,Plants acre-1,Yield (lbs/acre),Test Weight (lbs/bu),,
101,1,0,0.04,0.26,2.8,8,1.2,3000,1229.8,44.16,,
102,1,2.12,5.93,21.33,308.7,3,2,2700,1154.62,44.22,,
103,1,2.6,1.49,3.77,97.3,1.8,2.8,2800,1192.85,44.17,,
104,2,2.63,1.95,3.77,107.8,4.3,2.3,2875,1206.33,44.12,,
105,2,0.98,0.89,2.77,53.2,2.3,2.2,2900,1179.84,43.91,,
106,3,0.13,0.91,1.35,31.1,7.3,1,2800,1161.22,42.45,,
107,2,0.1,0.63,1.78,27.6,9.2,1.4,2790,1154.28,43.93,,
108,1,0.34,1.63,8.9,102.5,7.7,1.5,2500,1149.55,44.93,,
109,4,0.02,0.14,0.25,5.1,0.6,1.6,2400,1181.04,44.01,,
110,4,1.11,3.6,18.37,222.6,5,1.7,2200,1132.27,44.62,,
201,3,0.02,0.24,0.76,10.9,3.8,1.9,2300,1155.55,44.33,,
202,3,0.04,0.18,0.16,5.5,0.2,2.4,2100,1190.72,42.82,,
203,2,0.35,0.93,3.33,48.7,3.8,2.8,2400,1119.19,43.63,,
204,2,1.19,1.24,1.71,56.6,2.8,2.7,2200,1162.96,45.01,,
205,1,0.2,0.46,1.05,20.4,13.2,2.6,2000,1192.12,44.25,,
206,1,1.12,3.33,14.87,192.6,8.2,2.5,2600,1116.05,45.34,,
207,4,0.79,0.58,1.93,37.9,6.3,2.4,2800,175.84,43.93,,
208,3,0,0.08,0.44,4.9,11.5,2.2,2400,1196.39,44.98,,
209,2,1.54,1.47,3.07,76.1,4.7,2.2,2300,1201.26,44.8,,
210,3,1.42,4.57,28.6,319.6,3.7,2.2,2200,1196.05,45.24,,
301,1,0.1,0.27,0.3,9.3,5.7,1.3,2100,1194.52,44.22,,
302,3,0.15,0.95,3.62,47.9,11.5,2.4,2000,1180.51,44.41,,
303,3,1.74,3.37,20.5,241.9,3.2,1.6,1900,1133.33,44.12,,
304,2,1.7,1.25,2.2,67.8,3.7,1.8,1800,1200.52,44.89,,
305,4,0.88,1.8,2.02,66,4.8,1.2,1700,1194.05,44.67,,
306,4,0.02,0.27,0.88,12.2,9.8,1.3,1900,1217.54,44.75,,
307,1,0.47,2.53,17.67,185.1,7.7,2.4,2000,1146.34,44.5,,
308,3,0.01,0.17,0.4,6.6,13.7,2.5,2100,1216.2,44.8,,
309,1,0.85,2.87,11.4,154.2,10.3,2.3,2050,1176.24,44.31,,
310,2,1.1,1.12,3.55,65.4,6.2,2.2,2200,1213.8,44.39,,
401,4,1.23,3.73,25.33,276,3,2.1,2150,1225.68,43.22,,
402,4,0.3,1.25,3.82,58.1,9.7,2.9,1900,1182.11,44.51,,
403,2,0.97,0.82,1.8,44.9,8.7,2.8,1800,1191.12,44.31,,
404,3,0.71,2.1,7.93,111.4,15.3,2.3,1755,1159.89,44.17,,
405,1,0.96,4.03,14.77,204.4,10.7,2.4,1740,1177.9,45.17,,
406,4,0,0.06,0.32,3.4,14.8,2.5,1780,1208.86,44.26,,
407,4,1.23,1.04,1.65,52.4,7.5,2.6,1860,1170.5,44.27,,
408,4,0.28,0.66,3.52,43,6.2,2.8,1700,1209.6,44.54,,
409,3,0.31,0.4,1.28,22.4,2.8,2.7,1900,1197.99,44.01,,
410,2,0.14,0.17,0.12,6.6,2.8,2.3,1720,1222.01,44.61,,
